trip,dept_name,last_name,reason_description,expense_seq,account_no,account_description,gross_amount
2392,"Human Resources",Salgado,"site visit",2,1000,"meal (no alcohol)",24.45
2393,Operations,Hayward,"sales call",1,6000,misc,41.24
2393,Operations,Hayward,"sales call",2,2000,alcohol,0.2
2393,Operations,Hayward,"sales call",3,9000,"rental car",489.57
2394,"Information Technology",Cannon,"off-site meeting",1,5000,"conference fees",793.14
2394,"Information Technology",Cannon,"off-site meeting",2,5000,"conference fees",354.17
2394,"Information Technology",Cannon,"off-site meeting",3,2000,alcohol,14.08
2394,"Information Technology",Cannon,"off-site meeting",4,2000,alcohol,6.94
2395,Finance,Murphy,"site visit",1,3000,catering,590.67
2395,Finance,Murphy,"site visit",2,5000,"conference fees",148.43
2395,Finance,Murphy,"site visit",3,7000,"plane fare",807.1
2395,Finance,Murphy,"site visit",4,4000,hotel,568.71
2396,"Human Resources",Elliott,conference,1,6000,misc,61.17
2397,Purchasing,Partridge,"site visit",1,2000,alcohol,9.36
2397,Purchasing,Partridge,"site visit",2,10000,"other transportatoin",71.78
2397,Purchasing,Partridge,"site visit",3,6000,misc,48.04
2398,"Information Technology",Mcdermott,"site visit",1,4000,hotel,515.41
2398,"Information Technology",Mcdermott,"site visit",2,10000,"other transportatoin",90.67
2398,"Information Technology",Mcdermott,"site visit",3,4000,hotel,68.95
2399,Finance,Marks,"sales call",1,6000,misc,62.2
2400,Purchasing,Parry,"supplier visit",1,4000,hotel,546.34
2400,Purchasing,Parry,"supplier visit",2,4000,hotel,372.81
2400,Purchasing,Parry,"supplier visit",3,2000,alcohol,14.33
2401,"Information Technology",Bass,"off-site meeting",1,6000,misc,38.72
2401,"Information Technology",Bass,"off-site meeting",2,5000,"conference fees",519.55
2401,"Information Technology",Bass,"off-site meeting",3,8000,taxi,19.02
2401,"Information Technology",Bass,"off-site meeting",4,9000,"rental car",266.11
2401,"Information Technology",Bass,"off-site meeting",5,4000,hotel,686.57
2402,Sales,Cassidy,"site visit",1,9000,"rental car",439.98
2402,Sales,Cassidy,"site visit",2,4000,hotel,358.51
2402,Sales,Cassidy,"site visit",3,9000,"rental car",374.61
2402,Sales,Cassidy,"site visit",4,3000,catering,643.87
2403,Operations,Hayward,conference,1,5000,"conference fees",694.98
2403,Operations,Hayward,conference,2,1000,"meal (no alcohol)",21.9
2404,Executive,Ward,"off-site meeting",1,5000,"conference fees",421.15
2404,Executive,Ward,"off-site meeting",2,3000,catering,442.52
2405,"Information Technology",Milner,conference,1,7000,"plane fare",449.66
2405,"Information Technology",Milner,conference,2,7000,"plane fare",711.9
2406,Logistics,Stevens,"sales call",1,2000,alcohol,13.77
2406,Logistics,Stevens,"sales call",2,3000,catering,667.23
2406,Logistics,Stevens,"sales call",3,10000,"other transportatoin",112.92
2407,Executive,Robin,"off-site meeting",1,10000,"other transportatoin",39.52
2407,Executive,Robin,"off-site meeting",2,8000,taxi,30.51
2408,"Information Technology",Cannon,"off-site meeting",1,7000,"plane fare",777.64
2408,"Information Technology",Cannon,"off-site meeting",2,5000,"conference fees",1350.34
2408,"Information Technology",Cannon,"off-site meeting",3,4000,hotel,658.54
2409,Finance,Lynch,"sales call",1,1000,"meal (no alcohol)",33.97
2409,Finance,Lynch,"sales call",2,9000,"rental car",402.47
2409,Finance,Lynch,"sales call",3,10000,"other transportatoin",134.05
2410,Finance,Duggan,"supplier visit",1,2000,alcohol,12.57
2410,Finance,Duggan,"supplier visit",2,6000,misc,41.86
2410,Finance,Duggan,"supplier visit",3,6000,misc,58.29
2411,Executive,Graham,"sales call",1,1000,"meal (no alcohol)",27.04
2411,Executive,Graham,"sales call",2,8000,taxi,22.14
2412,"Human Resources",Sellers,conference,1,1000,"meal (no alcohol)",30.04
2412,"Human Resources",Sellers,conference,2,3000,catering,471.65
2412,"Human Resources",Sellers,conference,3,4000,hotel,541.69
2412,"Human Resources",Sellers,conference,4,2000,alcohol,14.63
2413,Purchasing,Mohammed,"site visit",1,10000,"other transportatoin",34.5
2413,Purchasing,Mohammed,"site visit",2,9000,"rental car",575.85
2413,Purchasing,Mohammed,"site visit",3,1000,"meal (no alcohol)",25.77
2414,Logistics,Shah,"sales call",1,2000,alcohol,7.28
2414,Logistics,Shah,"sales call",2,2000,alcohol,16.1
2414,Logistics,Shah,"sales call",3,1000,"meal (no alcohol)",26.13
2414,Logistics,Shah,"sales call",4,4000,hotel,220.11
2415,"Information Technology",Ashley,"sales call",1,9000,"rental car",350.64
2415,"Information Technology",Ashley,"sales call",2,9000,"rental car",405.67
2415,"Information Technology",Ashley,"sales call",3,7000,"plane fare",592.84
2416,Purchasing,Delarosa,"supplier visit",1,2000,alcohol,21.18
2416,Purchasing,Delarosa,"supplier visit",2,6000,misc,51.17
2416,Purchasing,Delarosa,"supplier visit",3,1000,"meal (no alcohol)",15.56
2417,Purchasing,Partridge,"off-site meeting",1,10000,"other transportatoin",29.98
2417,Purchasing,Partridge,"off-site meeting",2,3000,catering,649.41
2418,"Information Technology",Milner,"off-site meeting",1,6000,misc,48.94
2418,"Information Technology",Milner,"off-site meeting",2,10000,"other transportatoin",66.26
2419,"Information Technology",Knott,"sales call",1,1000,"meal (no alcohol)",26.59
2419,"Information Technology",Knott,"sales call",2,6000,misc,49.01
2419,"Information Technology",Knott,"sales call",3,1000,"meal (no alcohol)",0
2420,Quality,Hernandez,conference,1,7000,"plane fare",817.23
2421,"Human Resources",Macdonald,"supplier visit",1,9000,"rental car",314.67
2421,"Human Resources",Macdonald,"supplier visit",2,10000,"other transportatoin",89.76
2421,"Human Resources",Macdonald,"supplier visit",3,1000,"meal (no alcohol)",26.9
2421,"Human Resources",Macdonald,"supplier visit",4,6000,misc,48.76
2422,"Human Resources",Faulkner,"site visit",1,9000,"rental car",407.82
2422,"Human Resources",Faulkner,"site visit",2,6000,misc,27.6
2422,"Human Resources",Faulkner,"site visit",3,5000,"conference fees",1501.23
2423,Executive,Delaney,"supplier visit",1,1000,"meal (no alcohol)",45.47
2423,Executive,Delaney,"supplier visit",2,5000,"conference fees",497.71
2423,Executive,Delaney,"supplier visit",3,10000,"other transportatoin",47.08
2424,Purchasing,Partridge,"supplier visit",1,1000,"meal (no alcohol)",38.67
2424,Purchasing,Partridge,"supplier visit",2,9000,"rental car",312.87
2425,Executive,Cain,"supplier visit",1,2000,alcohol,0
2425,Executive,Cain,"supplier visit",2,1000,"meal (no alcohol)",25.33
2425,Executive,Cain,"supplier visit",3,7000,"plane fare",926.46
2425,Executive,Cain,"supplier visit",4,2000,alcohol,24.46
2426,Executive,Moran,"site visit",1,9000,"rental car",354.27
2426,Executive,Moran,"site visit",2,5000,"conference fees",1295.43
2426,Executive,Moran,"site visit",3,7000,"plane fare",591.04
2427,"Information Technology",Molloy,"site visit",1,5000,"conference fees",1016.78
2427,"Information Technology",Molloy,"site visit",2,4000,hotel,487.9
2427,"Information Technology",Molloy,"site visit",3,7000,"plane fare",1045.56
2428,"Information Technology",Finley,"off-site meeting",1,3000,catering,368.75
2428,"Information Technology",Finley,"off-site meeting",2,2000,alcohol,14.01
2429,Quality,Nelson,"supplier visit",1,1000,"meal (no alcohol)",30.7
2429,Quality,Nelson,"supplier visit",2,10000,"other transportatoin",79.91
2429,Quality,Nelson,"supplier visit",3,9000,"rental car",419.43
2430,Finance,Martins,conference,1,7000,"plane fare",821.09
2430,Finance,Martins,conference,2,7000,"plane fare",613.05
2430,Finance,Martins,conference,3,9000,"rental car",528.14
2431,"Human Resources",Jeffery,"supplier visit",1,2000,alcohol,5.68
2431,"Human Resources",Jeffery,"supplier visit",2,2000,alcohol,3.54
2431,"Human Resources",Jeffery,"supplier visit",3,10000,"other transportatoin",65.82
2432,"Human Resources",Jeffery,"site visit",1,8000,taxi,12.86
2432,"Human Resources",Jeffery,"site visit",2,8000,taxi,40.54
2432,"Human Resources",Jeffery,"site visit",3,5000,"conference fees",319.01
2432,"Human Resources",Jeffery,"site visit",4,8000,taxi,32.97
2433,Operations,Odling,"site visit",1,10000,"other transportatoin",112.5
2433,Operations,Odling,"site visit",2,7000,"plane fare",538
2434,"Information Technology",Knott,"off-site meeting",1,9000,"rental car",316.52
2434,"Information Technology",Knott,"off-site meeting",2,5000,"conference fees",671.88
2434,"Information Technology",Knott,"off-site meeting",3,4000,hotel,600.66
2435,Executive,Barrett,"site visit",1,3000,catering,550.98
2435,Executive,Barrett,"site visit",2,10000,"other transportatoin",99.18
2435,Executive,Barrett,"site visit",3,3000,catering,335.56
2436,Purchasing,Chang,"supplier visit",1,9000,"rental car",374.28
2437,Purchasing,Roche,"sales call",1,7000,"plane fare",859.35
2437,Purchasing,Roche,"sales call",2,3000,catering,568.76
2437,Purchasing,Roche,"sales call",3,7000,"plane fare",438.73
2438,Finance,Tucker,"off-site meeting",1,6000,misc,39.29
2438,Finance,Tucker,"off-site meeting",2,1000,"meal (no alcohol)",24.87
2438,Finance,Tucker,"off-site meeting",3,7000,"plane fare",811.16
2439,"Information Technology",Mccullough,"off-site meeting",1,9000,"rental car",353.68
2439,"Information Technology",Mccullough,"off-site meeting",2,9000,"rental car",383.5
2439,"Information Technology",Mccullough,"off-site meeting",3,9000,"rental car",322.78
2439,"Information Technology",Mccullough,"off-site meeting",4,1000,"meal (no alcohol)",24.33
2440,Purchasing,Mckee,"off-site meeting",1,2000,alcohol,11.61
2440,Purchasing,Mckee,"off-site meeting",2,10000,"other transportatoin",28.96
2441,Sales,Rodgers,"supplier visit",1,1000,"meal (no alcohol)",24.52
2441,Sales,Rodgers,"supplier visit",2,3000,catering,347.63
2442,Finance,Lynch,conference,1,9000,"rental car",322.28
2442,Finance,Lynch,conference,2,2000,alcohol,9.01
2442,Finance,Lynch,conference,3,2000,alcohol,14.37
2442,Finance,Lynch,conference,4,8000,taxi,38.41
2443,Purchasing,Parry,conference,1,5000,"conference fees",1184.79
2443,Purchasing,Parry,conference,2,5000,"conference fees",874.55
2444,"Information Technology",Fitzgerald,"off-site meeting",1,4000,hotel,466.94
2444,"Information Technology",Fitzgerald,"off-site meeting",2,6000,misc,56.42
2445,"Human Resources",Sellers,"off-site meeting",1,8000,taxi,15.34
2445,"Human Resources",Sellers,"off-site meeting",2,2000,alcohol,13.47
2445,"Human Resources",Sellers,"off-site meeting",3,6000,misc,42.14
2446,Purchasing,Knights,"site visit",1,9000,"rental car",145.89
2446,Purchasing,Knights,"site visit",2,1000,"meal (no alcohol)",43.94
2446,Purchasing,Knights,"site visit",3,3000,catering,748.83
2446,Purchasing,Knights,"site visit",4,7000,"plane fare",1001.99
2446,Purchasing,Knights,"site visit",5,10000,"other transportatoin",0
2447,"Information Technology",Dennis,"supplier visit",1,2000,alcohol,1.53
2447,"Information Technology",Dennis,"supplier visit",2,5000,"conference fees",0
2448,"Information Technology",Mathews,"site visit",1,3000,catering,843.77
2448,"Information Technology",Mathews,"site visit",2,4000,hotel,690.9
2449,Logistics,Bautista,conference,1,10000,"other transportatoin",47.88
2449,Logistics,Bautista,conference,2,4000,hotel,805.34
2449,Logistics,Bautista,conference,3,6000,misc,39.24
2450,Quality,Richard,"supplier visit",1,5000,"conference fees",13.99
2450,Quality,Richard,"supplier visit",2,2000,alcohol,9.3
2450,Quality,Richard,"supplier visit",3,5000,"conference fees",1054.98
2451,Purchasing,Reynolds,"site visit",1,4000,hotel,657.28
2451,Purchasing,Reynolds,"site visit",2,3000,catering,338.23
2451,Purchasing,Reynolds,"site visit",3,9000,"rental car",355.81
2452,Purchasing,Brennan,"supplier visit",1,6000,misc,53.76
2452,Purchasing,Brennan,"supplier visit",2,2000,alcohol,6.25
2453,Logistics,Hills,"sales call",1,6000,misc,56.81
2453,Logistics,Hills,"sales call",2,3000,catering,405.74
2453,Logistics,Hills,"sales call",3,7000,"plane fare",1223.79
2453,Logistics,Hills,"sales call",4,9000,"rental car",312.43
2454,Logistics,Shah,"sales call",1,3000,catering,403.01
2454,Logistics,Shah,"sales call",2,10000,"other transportatoin",137.7
2454,Logistics,Shah,"sales call",3,4000,hotel,566.71
2454,Logistics,Shah,"sales call",4,10000,"other transportatoin",81.67
2455,Logistics,Bautista,conference,1,8000,taxi,39.01
2455,Logistics,Bautista,conference,2,3000,catering,807.59
2455,Logistics,Bautista,conference,3,9000,"rental car",249.59
2456,Logistics,Witt,"sales call",1,6000,misc,54.82
2456,Logistics,Witt,"sales call",2,9000,"rental car",358.11
2457,Executive,Cain,"supplier visit",1,1000,"meal (no alcohol)",20.08
2457,Executive,Cain,"supplier visit",2,5000,"conference fees",264.64
2457,Executive,Cain,"supplier visit",3,10000,"other transportatoin",96.61
2457,Executive,Cain,"supplier visit",4,7000,"plane fare",718.11
2458,Purchasing,Delarosa,"sales call",1,5000,"conference fees",1490.11
2458,Purchasing,Delarosa,"sales call",2,9000,"rental car",237.56
2458,Purchasing,Delarosa,"sales call",3,8000,taxi,30.24
2459,"Human Resources",Laing,conference,1,3000,catering,518.1
2459,"Human Resources",Laing,conference,2,2000,alcohol,11.81
2460,Quality,Richard,conference,1,3000,catering,549.56
2460,Quality,Richard,conference,2,10000,"other transportatoin",83.26
2460,Quality,Richard,conference,3,5000,"conference fees",1603.99
2461,Finance,Drummond,"supplier visit",1,3000,catering,666.07
2461,Finance,Drummond,"supplier visit",2,8000,taxi,32.72
2461,Finance,Drummond,"supplier visit",3,1000,"meal (no alcohol)",35.03
2462,"Information Technology",David,"site visit",1,10000,"other transportatoin",106.06
2462,"Information Technology",David,"site visit",2,6000,misc,70.32
2462,"Information Technology",David,"site visit",3,9000,"rental car",289.89
2463,Executive,Barrett,"sales call",1,3000,catering,593.34
2463,Executive,Barrett,"sales call",2,9000,"rental car",322.73
2463,Executive,Barrett,"sales call",3,2000,alcohol,16.83
2464,Quality,Corbett,"sales call",1,5000,"conference fees",476.75
2464,Quality,Corbett,"sales call",2,2000,alcohol,7.08
2465,Purchasing,Brennan,"supplier visit",1,9000,"rental car",342.6
2465,Purchasing,Brennan,"supplier visit",2,3000,catering,256.76
2465,Purchasing,Brennan,"supplier visit",3,6000,misc,48.63
2466,"Human Resources",Laing,"sales call",1,1000,"meal (no alcohol)",0
2466,"Human Resources",Laing,"sales call",2,1000,"meal (no alcohol)",27.32
2466,"Human Resources",Laing,"sales call",3,5000,"conference fees",826.02
2466,"Human Resources",Laing,"sales call",4,5000,"conference fees",647.65
2467,Finance,Alcock,"off-site meeting",1,8000,taxi,19.33
2467,Finance,Alcock,"off-site meeting",2,3000,catering,435.42
2467,Finance,Alcock,"off-site meeting",3,5000,"conference fees",897.28
2468,Quality,Perry,"sales call",1,3000,catering,331.65
2468,Quality,Perry,"sales call",2,2000,alcohol,16.12
2468,Quality,Perry,"sales call",3,9000,"rental car",378.9
2469,"Information Technology",Buckner,conference,1,7000,"plane fare",375.18
2469,"Information Technology",Buckner,conference,2,8000,taxi,25.16
2469,"Information Technology",Buckner,conference,3,4000,hotel,584.19
2470,Quality,Piper,"sales call",1,3000,catering,141.2
2470,Quality,Piper,"sales call",2,5000,"conference fees",1127.65
2470,Quality,Piper,"sales call",3,7000,"plane fare",632.28
2471,Operations,Michael,"sales call",1,9000,"rental car",418.26
2471,Operations,Michael,"sales call",2,3000,catering,589.72
2471,Operations,Michael,"sales call",3,10000,"other transportatoin",100.02
2472,Sales,Cassidy,"supplier visit",1,5000,"conference fees",1322.93
2472,Sales,Cassidy,"supplier visit",2,2000,alcohol,-4.71
2472,Sales,Cassidy,"supplier visit",3,5000,"conference fees",884.92
2473,"Information Technology",Mathews,"off-site meeting",1,4000,hotel,142.67
2473,"Information Technology",Mathews,"off-site meeting",2,4000,hotel,-62.61
2473,"Information Technology",Mathews,"off-site meeting",3,4000,hotel,341.4
2474,Finance,Yates,"sales call",1,9000,"rental car",474.9
2474,Finance,Yates,"sales call",2,1000,"meal (no alcohol)",19.55
2474,Finance,Yates,"sales call",3,4000,hotel,540.21
2474,Finance,Yates,"sales call",4,6000,misc,41.22
2475,Executive,Moran,"supplier visit",1,8000,taxi,33.12
2475,Executive,Moran,"supplier visit",2,3000,catering,324.46
2475,Executive,Moran,"supplier visit",3,9000,"rental car",477.3
2476,Purchasing,Delarosa,"off-site meeting",1,4000,hotel,718.31
2476,Purchasing,Delarosa,"off-site meeting",2,7000,"plane fare",310.59
2476,Purchasing,Delarosa,"off-site meeting",3,10000,"other transportatoin",49.9
2477,Finance,Chen,"supplier visit",1,7000,"plane fare",899.6
2477,Finance,Chen,"supplier visit",2,7000,"plane fare",729.11
2478,Purchasing,Parry,"supplier visit",1,10000,"other transportatoin",73.79
2478,Purchasing,Parry,"supplier visit",2,3000,catering,406.67
2479,Operations,Ballard,"off-site meeting",1,7000,"plane fare",658.84
2479,Operations,Ballard,"off-site meeting",2,8000,taxi,14.86
2479,Operations,Ballard,"off-site meeting",3,6000,misc,48.84
2479,Operations,Ballard,"off-site meeting",4,8000,taxi,8.86
2480,Purchasing,Roche,"site visit",1,9000,"rental car",541.78
2480,Purchasing,Roche,"site visit",2,8000,taxi,35.62
2480,Purchasing,Roche,"site visit",3,9000,"rental car",327.05
2481,"Information Technology",Dennis,"site visit",1,2000,alcohol,6.27
2481,"Information Technology",Dennis,"site visit",2,3000,catering,503.65
2481,"Information Technology",Dennis,"site visit",3,3000,catering,579.53
2481,"Information Technology",Dennis,"site visit",4,5000,"conference fees",715.75
2482,Logistics,Jimenez,"sales call",1,9000,"rental car",351.06
2482,Logistics,Jimenez,"sales call",2,8000,taxi,32.46
2482,Logistics,Jimenez,"sales call",3,9000,"rental car",445.69
2483,"Information Technology",Mccullough,"off-site meeting",1,9000,"rental car",301.11
2484,"Information Technology",Ball,"supplier visit",1,6000,misc,55.68
2484,"Information Technology",Ball,"supplier visit",2,8000,taxi,38.48
2484,"Information Technology",Ball,"supplier visit",3,6000,misc,44.44
2485,"Human Resources",Jeffery,"sales call",1,2000,alcohol,10.96
2485,"Human Resources",Jeffery,"sales call",2,7000,"plane fare",861.25
2486,Purchasing,Roche,"site visit",1,7000,"plane fare",550.59
2486,Purchasing,Roche,"site visit",2,5000,"conference fees",1669.19
2486,Purchasing,Roche,"site visit",3,4000,hotel,470.11
2487,"Human Resources",Jeffery,"supplier visit",1,3000,catering,719.56
2487,"Human Resources",Jeffery,"supplier visit",2,6000,misc,67.87
2487,"Human Resources",Jeffery,"supplier visit",3,8000,taxi,10.6
2488,"Information Technology",Dennis,"supplier visit",1,3000,catering,595.16
2488,"Information Technology",Dennis,"supplier visit",2,6000,misc,55.85
2488,"Information Technology",Dennis,"supplier visit",3,6000,misc,45.91
2489,Executive,Dunn,conference,1,3000,catering,191.67
2489,Executive,Dunn,conference,2,5000,"conference fees",1370.44
2490,Operations,Booker,"sales call",1,3000,catering,394.44
2490,Operations,Booker,"sales call",2,6000,misc,53.68
2490,Operations,Booker,"sales call",3,3000,catering,850.02
2491,Finance,Martins,"supplier visit",1,2000,alcohol,7.81
2491,Finance,Martins,"supplier visit",2,7000,"plane fare",1029.41
2491,Finance,Martins,"supplier visit",3,2000,alcohol,6.93
2491,Finance,Martins,"supplier visit",4,5000,"conference fees",1168.9
2492,Purchasing,Brennan,"supplier visit",1,7000,"plane fare",924.64
2493,Finance,Skinner,"supplier visit",1,10000,"other transportatoin",53.81
2493,Finance,Skinner,"supplier visit",2,5000,"conference fees",1183.54
2493,Finance,Skinner,"supplier visit",3,5000,"conference fees",1035.65
2494,Sales,Reader,conference,1,10000,"other transportatoin",51.22
2494,Sales,Reader,conference,2,8000,taxi,30.52
2494,Sales,Reader,conference,3,6000,misc,61.08
2495,Purchasing,Brennan,conference,1,4000,hotel,157.89
2495,Purchasing,Brennan,conference,2,10000,"other transportatoin",84.25
2495,Purchasing,Brennan,conference,3,9000,"rental car",486.81
2495,Purchasing,Brennan,conference,4,6000,misc,40.3
2496,Executive,Yang,"off-site meeting",1,6000,misc,33.15
2496,Executive,Yang,"off-site meeting",2,5000,"conference fees",1692.57
2496,Executive,Yang,"off-site meeting",3,3000,catering,660.9
2496,Executive,Yang,"off-site meeting",4,4000,hotel,472.91
2497,Purchasing,Barr,"sales call",1,2000,alcohol,10.4
2497,Purchasing,Barr,"sales call",2,5000,"conference fees",1503.46
2497,Purchasing,Barr,"sales call",3,6000,misc,66.13
2498,Finance,Goff,"sales call",1,2000,alcohol,7.72
2498,Finance,Goff,"sales call",2,1000,"meal (no alcohol)",20.67
2498,Finance,Goff,"sales call",3,6000,misc,58.02
2498,Finance,Goff,"sales call",4,1000,"meal (no alcohol)",32.91
2499,"Human Resources",Baldwin,"supplier visit",1,10000,"other transportatoin",76.25
2499,"Human Resources",Baldwin,"supplier visit",2,7000,"plane fare",879.43
2499,"Human Resources",Baldwin,"supplier visit",3,10000,"other transportatoin",66.67
2499,"Human Resources",Baldwin,"supplier visit",4,2000,alcohol,11.62
2500,"Human Resources",Faulkner,"sales call",1,1000,"meal (no alcohol)",32.71
2500,"Human Resources",Faulkner,"sales call",2,5000,"conference fees",94.41
2501,Finance,Flynn,"site visit",1,1000,"meal (no alcohol)",25.58
2501,Finance,Flynn,"site visit",2,3000,catering,548.44
2501,Finance,Flynn,"site visit",3,1000,"meal (no alcohol)",19.85
2501,Finance,Flynn,"site visit",4,4000,hotel,671.95
2502,"Information Technology",Fitzgerald,"sales call",1,7000,"plane fare",936.25
2502,"Information Technology",Fitzgerald,"sales call",2,5000,"conference fees",394.06
2502,"Information Technology",Fitzgerald,"sales call",3,3000,catering,455.53
2503,Purchasing,Brennan,"supplier visit",1,4000,hotel,315.33
2503,Purchasing,Brennan,"supplier visit",2,10000,"other transportatoin",23.36
2503,Purchasing,Brennan,"supplier visit",3,10000,"other transportatoin",53.01
